クラス,ID,氏名,学生Mail,保護者Mail,専門基礎,運動学,臨床心理学,リハ概論,生理学,解剖学
3FA,2024001,佐藤 健一,student01@example.com,parent_student01@example.com,64,79,67,77,59,58
3FA,2024002,鈴木 花子,student02@example.com,parent_student02@example.com,65,70,69,71,72,80
3FA,2024003,高橋 大輔,student03@example.com,parent_student03@example.com,74,65,77,61,62,66
3FA,2024004,田中 美咲,student04@example.com,parent_student04@example.com,68,72,81,64,77,76
3FA,2024005,伊藤 翔太,student05@example.com,parent_student05@example.com,78,79,78,72,71,78
3FB,2024006,渡辺 明日香,student06@example.com,parent_student06@example.com,65,55,62,57,76,64
3FB,2024007,山本 陸,student07@example.com,parent_student07@example.com,64,84,70,71,82,75
3FB,2024008,中村 結衣,student08@example.com,parent_student08@example.com,63,74,77,63,64,65
3FB,2024009,小林 翼,student09@example.com,parent_student09@example.com,64,72,62,63,74,68
3FB,2024010,加藤 さくら,student10@example.com,parent_student10@example.com,59,55,77,55,72,66
